id,identificador,nro_encuesta,zona,asentamiento,ciudad,tipo_formacion,tipo_formacion_otro,origen,origen_otro,poblador_mas_antiguo,poblador_mas_nuevo,superficie,numero_lotes,medida_lotes,numero_aprox_viviendas,numero_aprox_viviendas_precarias,numero_aprox_viviendas_precarias_otro,multiples_familias,tipo_propiedad,tipo_propiedad_fiscal,esta_loteada,plano_aprobado_muni,plano_aprobado_sas,conocimiento_adjudicacion,encargado_asignacion_lotes,encargado_asignacion_lotes_otros,ultima_salida_familia,desalojos,titulo_lotes,proceso_de_transferencia_titulos,razon_proceso_legalizacion,razon_proceso_legalizacion_otro,apoyo_organizacion,institucion_encargada_legalizacion,instucion_encargada_legalizacion_otro,legalizacion_etapa,legalizacion_etapa_otro,lotes_vendidos,lotes_vendidos_responsables,lotes_vendidos_precio,lotes_vendidos_destino,lotes_vendidos_destino_otro,excretas,escretas_otros,agua_tipo_provision,agua_tipo_conexion_regular,agua_tipo_provision_otro,agua_cantidad_familias,energia_tipo_provision,energia_cantidad_medidor,agua,agua_tiempo_tramites,agua_ano_obtencion,energia,energia_tiempo_tramites,energia_ano_obtencion,eliminacion_basura_tipo,eliminacion_basura_tipo_otro,cocina_metodo,cocina_metodo_otro,vias_acceso_material,vias_acceso_material_otro,caminos_material,caminos_material_otro,caminos_estado,calles_delimitadas_nombradas,calles_delimitadas_nombradas_otro,alumbrado_publico,alumbrado_publico_otro,alumbrado_publico_extension,alumbrado_publico_extension_otro,ong_asistencia,ong_proyectos,ong_familias_beneficiadas,ong_inicio_trabajos,programas_viviendas,programas_viviendas_lista,programas_viviendas_tipo,comision_vecinal,cooperativa,comedores,junta_saneamiento,guarderias,otras_organizaciones_asentamiento,ninguna_organizacion,comision_vecinal_participantes,organizacion_social_otro,comision_vecinal_eleccion_mecanismo,ribera_rio,arroyo,cerro,basurero,lineas_alta_tension,barrio_residencial,barranco,cantera,humedales,fabricas,ruta,lugares_cercanos_otro,distanica_comisaria,distancia_fiscalia_barrial,distancia_puesto_salud,distancia_hospital_publico,distancia_escuela_publica,distancia_escuela_privada,distancia_colegio_nacional,distancia_universidad,distancia_instituto_tecnico,distancia_transporte_publico,distancia_supermercado,distancia_centro_comunitario,distancia_cancha_deportiva,distancia_iglesia,distancia_zona_verde,distancia_comite_politico,obs_generales_lugar,problema_violencia,problema_desempleo,problema_drogadiccion,problema_educacion,problema_agua_potable,problema_salud,problema_falta_energia,problema_eliminacion_basura,problema_camino,problema_union_vecinos,problema_otro,aspectos_positivos,observaciones_grales,datos_adjuntos,asentamiento_intervenido_techo,field_133,poligono,poligono_geojson
309,96,911,,30 de julio,luque,,,,,2015,,0,0,0,0,0,,no,,,,,,,,,,no,invalid,,invalid,,invalid,,,,,,,,,,,,,sin agua,,,,,no,,,no,,,,,,,,,,,,,,,,,,no,,,,no,,,no,no,no,no,no,,no,,,,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,
310,95,221,,3 de septiembre,luque,f,por los terrenos,ocupacion de tierras cedidas por el estado,,1997,entre 5 y 10 años,6300,16,280,16,4,,no,municipal,,si,si,si,no,invalid,,mas de 2 años,no,si,1 a 2 años,,,,,,,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,aguateria privada,,100,ANDE,100,si,entre 1 a 3 meses,,si,entre 3 y 6 meses,,tira y quema,,leña y carbón,,,,tierra,,regular,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,"asistencia en general (niños, jovenes,mujeres,adultos mayores,violencia familiar)",si,no,no,no,no,,no,7,,votacion,no,no,no,no,si,no,no,no,no,no,si,,a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),,1,,2,,,,,3,,,,trabajo de la gente,,,no,,"POLYGON((-57.4795968034137 -25.3059196315824,-57.4791017668205 -25.3044212629681,-57.4783590007493 -25.3048147430772,-57.4790589943334 -25.3060836555321,-57.4793983705191 -25.3061203360539,-57.4795968034137 -25.3059196315824))","{""type"":""Polygon"",""coordinates"":[[[-57.4795968034137,-25.3059196315824],[-57.4791017668205,-25.3044212629681],[-57.4783590007493,-25.3048147430772],[-57.4790589943334,-25.3060836555321],[-57.4793983705191,-25.3061203360539],[-57.4795968034137,-25.3059196315824]]]}"
311,94,216,,3 de febrero,luque,f,varios motivos,ocupacion ilegal,,2000,mas de 10 años,10900,79,300,79,0,,si,fiscal,,no,no,no,si,comision vecinal,,mas de 2 años,no,si,,,en proceso,no,,,,tribunal de sentencia,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,ANDE,100,si,mas de un año,,si,mas de un año,,servicio de recolección pagado,,gas,,tierra,,,,malo,únicamente en la calle principal del barrio,,no,,,,si,"gobierno de taiwan, construcción de casas y centro comunitario",76,1 año,si,donación taiwán,"plaza, espacio recreativo, bibliotecas / equipamiento de centro comunitario (sillas amoblamiento)",si,no,no,no,no,,no,12,,votación con registro municipal,no,no,no,no,si,no,no,no,no,no,no,,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),,,,,2,,,,,,,"1-titulacion
3- seguridad",,,,no,,"POLYGON((-57.469617882419 -25.2951712314446,-57.4696011284796 -25.2947045829805,-57.46921964194 -25.2947827107413,-57.4703594488088 -25.2982077502307,-57.4708803273279 -25.2981041943899,-57.4698614049641 -25.2956955051771,-57.469617882419 -25.2951712314446))","{""type"":""Polygon"",""coordinates"":[[[-57.469617882419,-25.2951712314446],[-57.4696011284796,-25.2947045829805],[-57.46921964194,-25.2947827107413],[-57.4703594488088,-25.2982077502307],[-57.4708803273279,-25.2981041943899],[-57.4698614049641,-25.2956955051771],[-57.469617882419,-25.2951712314446]]]}"
312,93,226,,24 de octubre,luque,migracion por factores economicos,,mediante una asociacion social,,2008,ns/nr,2,,20000,80,10,,si,privada,sas,si,en proceso,en proceso,si,sas,,de 3 a 6 meses,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,si,,,en tramite con la sas,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,pozo privado,,,70,ANDE,90,no,,,si,4,,servicio de recolección pagado,,gas,,tierra,,tierra,,regular,en algunas de las calles del barrio,,provistos por el estado,,en algunas de las calles del asentamiento,,no,obtencion de energia electrica,,,no,,viviendas dignas para los mas necesitados,si,no,no,no,no,,no,15,,votacion de los integrantes de la comisin,no,no,no,no,no,no,no,no,no,si,no,,a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),,,,,,,,,,1,,,familias unidas desde el cambio del dirigente,,,no,,"POLYGON((-57.492202842582 -25.3118226329752,-57.4928421107736 -25.3116150377946,-57.4937112670081 -25.31127209023,-57.4928715055525 -25.3095740774542,-57.4915572587821 -25.3101339179027,-57.492202842582 -25.3118226329752))","{""type"":""Polygon"",""coordinates"":[[[-57.492202842582,-25.3118226329752],[-57.4928421107736,-25.3116150377946],[-57.4937112670081,-25.31127209023],[-57.4928715055525,-25.3095740774542],[-57.4915572587821,-25.3101339179027],[-57.492202842582,-25.3118226329752]]]}"
313,92,205,,24 de noviembre,luque,f,varios motivos,ocupacion ilegal,,2000,menos de 1 año,12500,6178,180,78,7,,no,sas,,si,no,en proceso,si,sas,,1 año,si,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,ninguna institucion,iniciando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,pozo comunal,,,100,ANDE,100,si,mas de un año,,si,entre 6 meses y un año,,servicio de recolección pagado,,,,ripio,,ripio,,regular,en algunas de las calles del barrio,,hechos por los vecinos,,,,si,abrazo,3,8 años,si,sas,asistencia social (charlas),si,no,no,no,no,,no,15 personas,,asamblea con la municipalidad y la tsje,no,no,si,no,si,no,no,no,si,no,si,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),aguas servidas de varias zonas,1,,2,3,,,,,4,,,,,,no,,"POLYGON((-57.4839566681271 -25.2870805397708,-57.4831768570365 -25.2883032495289,-57.4833248459436 -25.2886668551199,-57.4837789246542 -25.2885573365174,-57.4838843047055 -25.2888035281358,-57.4846819080013 -25.2886368423314,-57.4839566681271 -25.2870805397708))","{""type"":""Polygon"",""coordinates"":[[[-57.4839566681271,-25.2870805397708],[-57.4831768570365,-25.2883032495289],[-57.4833248459436,-25.2886668551199],[-57.4837789246542,-25.2885573365174],[-57.4838843047055,-25.2888035281358],[-57.4846819080013,-25.2886368423314],[-57.4839566681271,-25.2870805397708]]]}"
314,91,369,,24 de julio,luque,f,motivos particulares,ocupacion de tierras cedidas por el estado,,2010,menos de 1 año,6067,30,200,30,80,,si,municipal,,si,no,no,ns/nr,,,menos de 1 mes,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,iniciando,,si,los propios vecinos,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,conexion regular,,100,irregular,0,si,mas de un año,,no,,,tira y quema,,leña y carbón,,tierra,,tierra,,malo,en algunas de las calles del barrio,,no,,,,no,,,,no,,senavitad,si,no,no,no,no,,no,15,,asamblea cada año,no,no,no,no,no,no,no,no,no,no,si,mataderia,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),,,2,,,,,,,1,,,todos los vecinos son unidos,,,no,,"POLYGON((-57.4951753705271 -25.2440287005348,-57.4953227837338 -25.2436946144776,-57.4939106578651 -25.2434556395577,-57.4937210449126 -25.2438440620699,-57.4951753705271 -25.2440287005348))","{""type"":""Polygon"",""coordinates"":[[[-57.4951753705271,-25.2440287005348],[-57.4953227837338,-25.2436946144776],[-57.4939106578651,-25.2434556395577],[-57.4937210449126,-25.2438440620699],[-57.4951753705271,-25.2440287005348]]]}"
315,90,341,,20 y 21 de abril,luque,migracion por factores economicos,,ocupacion ilegal,,1997,entre 5 y 10 años,70000,176,360,176,60,,si,sas,,si,no,no,no,propietario o particular,,no hubo abandono,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,,se está esperando que el terreno pase a nombre de la SAS,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a alcantarillado,,conexión regular,pozo comunal,,60,ANDE,60,si,mas de un año,,si,,,servicio de recolección pagado,,,,ripio,,tierra,,regular,no,,provistos por el estado,,,,si,tekopora,30,6 años,no,,otros,si,no,no,no,no,,no,8,,votación en asamblea,no,no,no,si,no,no,no,no,si,no,no,,entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),,,3,4,,2,,,,,1,regularización del terreno,"unidad de vecinos, es una zona alta no inundable, están organizadas",,,no,,"POLYGON((-57.4722644007211 -25.2600559896289,-57.4657748602594 -25.2612046688654,-57.4663100143772 -25.2623093908096,-57.4734532415213 -25.2610824119615,-57.4736900096591 -25.2606330514115,-57.4723656852723 -25.2608401798126,-57.4722644007211 -25.2600559896289))","{""type"":""Polygon"",""coordinates"":[[[-57.4722644007211,-25.2600559896289],[-57.4657748602594,-25.2612046688654],[-57.4663100143772,-25.2623093908096],[-57.4734532415213,-25.2610824119615],[-57.4736900096591,-25.2606330514115],[-57.4723656852723,-25.2608401798126],[-57.4722644007211,-25.2600559896289]]]}"
316,89,202,,2 de noviembre,luque,migracion por factores economicos,,mediante una asociacion social,,2009,entre 2 y 3 años,110000,194,360,194,20,,si,sas,,si,si,si,si,sas,,1 año,si,si,,,en proceso,si,municipalidad,,finalizando,,no,,,,,"cajon sobre aseguias, canales, otros",,pozo comunal,,,100,ANDE,100,si,mas de un año,,si,4,,,,leña y carbón,,tierra,,tierra,,regular,no,,provistos por el estado,,en todas las calles del asentamiento,,si,"municipalidad, aprovacion del terreno, senavitat",,,si,senavitat,tekopora,si,no,no,no,no,,no,100,,votacion por la municipalidad,no,no,no,no,no,no,no,no,no,no,si,,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),dentro del asentamiento,mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,mas de 50 cuadras(+5 km),,,,1,,,,,2,3,,,trabajan todos juntos los vecinos,,,Programa de Vivienda,,"POLYGON((-57.4645044084317 -25.226587157232,-57.4654030326849 -25.219192004872,-57.4648514579767 -25.2191097044213,-57.4646192958828 -25.2209385565522,-57.464764434108 -25.2211703379466,-57.4646283372698 -25.2219168492437,-57.4646825468255 -25.2220656283753,-57.4642514867506 -25.2258733398636,-57.4640383634321 -25.225616703633,-57.4639500273467 -25.2265392334753,-57.4645044084317 -25.226587157232))","{""type"":""Polygon"",""coordinates"":[[[-57.4645044084317,-25.226587157232],[-57.4654030326849,-25.219192004872],[-57.4648514579767,-25.2191097044213],[-57.4646192958828,-25.2209385565522],[-57.464764434108,-25.2211703379466],[-57.4646283372698,-25.2219168492437],[-57.4646825468255,-25.2220656283753],[-57.4642514867506,-25.2258733398636],[-57.4640383634321,-25.225616703633],[-57.4639500273467,-25.2265392334753],[-57.4645044084317,-25.226587157232]]]}"
317,88,380,,16 de julio compañía 11,luque,migracion por factores economicos,,ocupacion ilegal,,2008,entre 2 y 3 años,9411,176,750,167,30,,no,sas,,si,si,si,si,sas,,menos de 1 mes,no,si,,,en proceso,no,,por su propia cuenta,finalizando,,si,los propios vecinos,más de 500.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,80,ANDE,100,si,entre 6 meses y un año,,si,mas de un año,,tira y quema,,gas,,,,tierra,,bueno,no,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,si,senavitat,programa de vivienda,si,no,no,no,no,,no,200,,votacion,no,si,no,no,no,no,si,no,si,no,si,,dentro del asentamiento,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,mas de 50 cuadras(+5 km),,,,2,,,,,,3,,1 limpieza,no hay problema de desempleo.,,,Programa de Vivienda,,"POLYGON((-57.4944770844275 -25.2161389151903,-57.4845067643543 -25.2186253746807,-57.4847567637338 -25.2191287083739,-57.4943096880481 -25.2166955053045,-57.4944770844275 -25.2161389151903))","{""type"":""Polygon"",""coordinates"":[[[-57.4944770844275,-25.2161389151903],[-57.4845067643543,-25.2186253746807],[-57.4847567637338,-25.2191287083739],[-57.4943096880481,-25.2166955053045],[-57.4944770844275,-25.2161389151903]]]}"
318,87,368,,16 de agosto,luque,f,,ocupacion ilegal,,2002,ns/nr,293,32,0,32,4,,no,fiscal,"municipal, privada",si,si,no,si,comision vecinal,,mas de 2 años,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,,En proceso hace 13 años,si,los propios vecinos,ns/nr,mejoras para el asentamiento,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,conexion regular,,100,irregular,0,si,entre 6 meses y un año,,no,,,,,leña y carbón,,tierra,,tierra,,malo,en algunas de las calles del barrio,,no,,,,no,,,,no,,techo - senavitad,si,no,no,no,no,,no,20,,asamblea cada año,no,si,no,no,si,no,no,no,si,no,si,,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),,,,,,,,,3,2,1,titulos de los terrenos,son todos conocidos y cualquier problema se soluciona con palabras.,,,no,,"POLYGON((-57.4932494202157 -25.2444847543604,-57.493626079362 -25.2438728310051,-57.4922336122754 -25.2437147436272,-57.4923348150913 -25.243168578805,-57.4919419893361 -25.2430974865033,-57.4919130001401 -25.2431080741491,-57.4918947189339 -25.2431245836322,-57.4918775025232 -25.2431450017158,-57.4918677397739 -25.2431595477567,-57.4918546904794 -25.2431789178099,-57.4918449042805 -25.2431934439954,-57.4918318568825 -25.2432128110451,-57.4918296279286 -25.24322154805,-57.4918315290553 -25.2432458666845,-57.4918248418676 -25.2432720759947,-57.4918257106057 -25.2432924988811,-57.4918212526206 -25.2433099709472,-57.4918233176425 -25.2433177623174,-57.4918252187857 -25.2433420809344,-57.4918185319606 -25.243368287607,-57.4918247270585 -25.2433916626648,-57.4918213015651 -25.2434130291041,-57.4918243990943 -25.243424717235,-57.4918209737195 -25.2434460831786,-57.4918251039468 -25.2434616676437,-57.4918249399873 -25.243478194946,-57.4918172204946 -25.2435005023618,-57.4918158602394 -25.2435296596125,-57.4918177612131 -25.2435539789475,-57.4918153683739 -25.2435792394809,-57.4918140081846 -25.2436083960565,-57.491820202971 -25.2436317758705,-57.4918167776097 -25.243653139188,-57.4918123199778 -25.2436706052954,-57.4918088947723 -25.2436919676328,-57.4918044372649 -25.2437094328328,-57.4917934579035 -25.2437365680611,-57.4917879685776 -25.2437501348342,-57.4917867724916 -25.2437627630861,-57.4917780227813 -25.243781163607,-57.4917745981217 -25.2438025218015,-57.4917646534459 -25.2438335475421,-57.4917601970257 -25.2438510079492,-57.4917481888435 -25.2438742372128,-57.4917415053785 -25.2439004252074,-57.4917327583493 -25.2439188189747,-57.491733626351 -25.2439392373655,-57.4917291709773 -25.2439566943233,-57.491731234697 -25.2439644877194,-57.4917245519246 -25.2439906722016,-57.491720096867 -25.2440081277659,-57.4917134145499 -25.2440343103802,-57.4917099916455 -25.2440556614892,-57.4917087959457 -25.2440682851929,-57.4917043414494 -25.2440857388068,-57.4916901106789 -25.2441176803186,-57.4916770767384 -25.2441369968265,-57.4916726231682 -25.2441544475053,-57.4916618174536 -25.2441650364463,-57.4916551375298 -25.2441912104374,-57.4916496531036 -25.2442047625575,-57.4916452002979 -25.2442222106316,-57.4916321701084 -25.2442415195738,-57.4916191410525 -25.2442608269058,-57.4916050823068 -25.2442762363521,-57.4915963431648 -25.2442946106364,-57.4915951485158 -25.2443072285778,-57.491587604638 -25.2443129839118,-57.4932494202157 -25.2444847543604))","{""type"":""Polygon"",""coordinates"":[[[-57.4932494202157,-25.2444847543604],[-57.493626079362,-25.2438728310051],[-57.4922336122754,-25.2437147436272],[-57.4923348150913,-25.243168578805],[-57.4919419893361,-25.2430974865033],[-57.4919130001401,-25.2431080741491],[-57.4918947189339,-25.2431245836322],[-57.4918775025232,-25.2431450017158],[-57.4918677397739,-25.2431595477567],[-57.4918546904794,-25.2431789178099],[-57.4918449042805,-25.2431934439954],[-57.4918318568825,-25.2432128110451],[-57.4918296279286,-25.24322154805],[-57.4918315290553,-25.2432458666845],[-57.4918248418676,-25.2432720759947],[-57.4918257106057,-25.2432924988811],[-57.4918212526206,-25.2433099709472],[-57.4918233176425,-25.2433177623174],[-57.4918252187857,-25.2433420809344],[-57.4918185319606,-25.243368287607],[-57.4918247270585,-25.2433916626648],[-57.4918213015651,-25.2434130291041],[-57.4918243990943,-25.243424717235],[-57.4918209737195,-25.2434460831786],[-57.4918251039468,-25.2434616676437],[-57.4918249399873,-25.243478194946],[-57.4918172204946,-25.2435005023618],[-57.4918158602394,-25.2435296596125],[-57.4918177612131,-25.2435539789475],[-57.4918153683739,-25.2435792394809],[-57.4918140081846,-25.2436083960565],[-57.491820202971,-25.2436317758705],[-57.4918167776097,-25.243653139188],[-57.4918123199778,-25.2436706052954],[-57.4918088947723,-25.2436919676328],[-57.4918044372649,-25.2437094328328],[-57.4917934579035,-25.2437365680611],[-57.4917879685776,-25.2437501348342],[-57.4917867724916,-25.2437627630861],[-57.4917780227813,-25.243781163607],[-57.4917745981217,-25.2438025218015],[-57.4917646534459,-25.2438335475421],[-57.4917601970257,-25.2438510079492],[-57.4917481888435,-25.2438742372128],[-57.4917415053785,-25.2439004252074],[-57.4917327583493,-25.2439188189747],[-57.491733626351,-25.2439392373655],[-57.4917291709773,-25.2439566943233],[-57.491731234697,-25.2439644877194],[-57.4917245519246,-25.2439906722016],[-57.491720096867,-25.2440081277659],[-57.4917134145499,-25.2440343103802],[-57.4917099916455,-25.2440556614892],[-57.4917087959457,-25.2440682851929],[-57.4917043414494,-25.2440857388068],[-57.4916901106789,-25.2441176803186],[-57.4916770767384,-25.2441369968265],[-57.4916726231682,-25.2441544475053],[-57.4916618174536,-25.2441650364463],[-57.4916551375298,-25.2441912104374],[-57.4916496531036,-25.2442047625575],[-57.4916452002979,-25.2442222106316],[-57.4916321701084,-25.2442415195738],[-57.4916191410525,-25.2442608269058],[-57.4916050823068,-25.2442762363521],[-57.4915963431648,-25.2442946106364],[-57.4915951485158,-25.2443072285778],[-57.491587604638,-25.2443129839118],[-57.4932494202157,-25.2444847543604]]]}"
319,86,344,,12 de junio y victoria,luque,f,vecinos pidieron que compre la sas,ocupacion de tierras cedidas por el estado,,2008,menos de 1 año,75000,136,288,132,62,,si,sas,,si,si,si,no,propietario o particular,,no hubo abandono,si,si,,,,si,sas,,finalizando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,,inodoro con pozo ciego,conexión regular,pozo comunal,,90,ANDE,100,si,mas de un año,,si,entre 6 meses y un año,,,,leña y carbón,,tierra,,tierra,,regular,,,provistos por el estado,,en algunas de las calles del asentamiento,,si,techo,,,no,,snpp para jóvenes y tekopora,si,no,no,no,si,,no,10 personas,,asamblea con la tsje cada un año,no,no,no,no,no,si,no,no,si,si,si,,entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),entre 31 y 50 cuadras (3-5 km),capilla cerca del barrio aproximadamente a 6 cuadras pero se hace catesismo en el centro comunitario,4,2,1,3,,,,,,,falta de unión entre vecinos,"apoyo de techo con los niños y viviendas, centro comunitario",,,Mesa de Trabajo y Programa de Vivienda,,"POLYGON((-57.473450741603 -25.2586240158246,-57.4732220469502 -25.2577380671092,-57.4658656903316 -25.2583781976647,-57.4659787162393 -25.2590107373555,-57.4680697086068 -25.2587256509099,-57.4682859802055 -25.2593964366392,-57.4721350665324 -25.2588202886967,-57.473450741603 -25.2586240158246))","{""type"":""Polygon"",""coordinates"":[[[-57.473450741603,-25.2586240158246],[-57.4732220469502,-25.2577380671092],[-57.4658656903316,-25.2583781976647],[-57.4659787162393,-25.2590107373555],[-57.4680697086068,-25.2587256509099],[-57.4682859802055,-25.2593964366392],[-57.4721350665324,-25.2588202886967],[-57.473450741603,-25.2586240158246]]]}"
